index,latitude,longitude
400,-26.9333,114.6584
401,-27.1179,118.0848
402,-27.1355,118.051
403,-27.1592,118.0428
404,-27.1937,118.0236
405,-27.199,118.0252
406,-27.2601,117.9912
407,-27.2668,117.9812
408,-27.3296,117.9472
409,-27.3296,117.9472
410,-27.4245,117.8971
411,-27.4245,117.8971
412,-27.4532,117.8855
413,-27.4841,117.88
414,-27.5491,117.9121
415,-27.5735,117.9181
416,-27.5884,117.9104
417,-27.5961,117.8962
418,-27.6235,117.8793
419,-27.6603,117.8728
420,-27.6713,117.8779
421,-27.7005,117.9118
422,-27.7259,117.9107
423,-27.7461,117.9192
424,-27.7649,117.9162
425,-27.8283,117.9304
426,-27.8498,117.9235
427,-27.8645,117.9094
428,-27.9047,117.849
429,-27.9333,117.8441
430,-26.8725,118.3594
431,-26.8824,118.3473
432,-26.8857,118.3337
433,-26.887,118.282
434,-26.9058,118.2664
435,-26.9623,118.2405
436,-27.0142,118.2045
437,-27.0936,118.1288
438,-27.1179,118.0848
439,-12.4973,131.0147
440,-12.5125,131.0243
441,-12.5281,131.0487
442,-12.5644,131.0738
443,-12.5644,131.0738
444,-12.6279,131.0729
445,-12.6726,131.0804
446,-12.6726,131.0804
447,-12.7418,131.0928
448,-13.0003,131.1185
449,-13.0084,131.1232
450,-13.0267,131.1218
451,-13.0703,131.1048
452,-13.0927,131.1094
453,-13.2196,131.0994
454,-13.2196,131.0994
455,-13.2361,131.1015
456,-13.2417,131.11
457,-12.7418,131.0928
458,-12.7732,131.1095
459,-12.7875,131.1237
460,-12.8082,131.1231
461,-12.825,131.1331
462,-12.8605,131.1429
463,-12.9131,131.1402
464,-12.9461,131.1232
465,-12.9689,131.1166
466,-13.0003,131.1185
467,-13.5271,131.4026
468,-13.5455,131.4227
469,-25.0151,113.7768
470,-25.0359,113.7836
471,-25.0583,113.803
472,-25.3708,113.9695
473,-25.4022,114.0
474,-13.2417,131.11
475,-13.2488,131.131
476,-13.2766,131.1615
477,-13.2854,131.1836
478,-13.3008,131.2034
479,-13.3249,131.2115
480,-13.3547,131.212
481,-13.3654,131.2179
482,-13.3789,131.25
483,-13.4153,131.2978
484,-13.4297,131.3096
485,-13.4665,131.3293
486,-13.4799,131.3632
487,-13.5031,131.3772
488,-13.5271,131.4026
489,-13.5455,131.4227
490,-13.5809,131.4514
491,-13.582,131.4601
