index,latitude,longitude
506,-17.2299,145.9187
507,-17.2309,145.9188
508,-17.2318,145.919
509,-17.2328,145.9192
510,-17.2337,145.9193
511,-17.2347,145.9195
512,-17.2356,145.9197
513,-17.2366,145.9198
514,-17.2375,145.92
515,-17.2385,145.9202
516,-17.2394,145.9203
517,-17.2404,145.9205
518,-17.2413,145.9207
519,-17.2422,145.9208
520,-17.2432,145.921
521,-17.2441,145.9212
522,-17.2451,145.9213
523,-17.246,145.9215
524,-17.247,145.9217
525,-17.2479,145.9218
526,-17.2489,145.922
527,-17.2498,145.9222
528,-17.2508,145.9223
529,-17.2517,145.9225
530,-17.2527,145.9223
531,-17.2536,145.9221
532,-17.2546,145.9219
533,-17.2555,145.9217
534,-17.2565,145.9214
535,-17.2575,145.9212
536,-17.2584,145.921
537,-17.2594,145.9208
538,-17.2603,145.9206
539,-17.2613,145.9204
540,-17.2622,145.9202
541,-17.2632,145.92
542,-17.2642,145.9197
543,-17.2651,145.9195
544,-17.2661,145.9193
545,-17.267,145.9191
546,-17.268,145.9189
547,-17.269,145.919
548,-17.2699,145.9191
549,-17.2709,145.9192
550,-17.2719,145.9193
551,-17.2729,145.9194
552,-17.2738,145.9195
553,-17.2748,145.9196
554,-17.2758,145.9196
555,-17.2768,145.9197
556,-17.2777,145.9198
557,-17.2787,145.9199
558,-17.2797,145.92
559,-17.2807,145.9201
560,-17.2816,145.9202
561,-17.2826,145.9203
562,-17.2836,145.9204
563,-17.2845,145.9209
564,-17.2853,145.9213
565,-17.2862,145.9218
566,-17.287,145.9223
567,-17.2879,145.9228
568,-17.2887,145.9232
569,-17.2896,145.9237
570,-17.2905,145.9242
571,-17.2913,145.9246
572,-17.2922,145.9251
573,-17.293,145.9256
574,-17.2939,145.9261
575,-17.2947,145.9265
576,-17.2956,145.927
577,-17.2966,145.9269
578,-17.2975,145.9267
579,-17.2985,145.9266
580,-17.2994,145.9264
581,-17.3004,145.9263
582,-17.3014,145.9261
583,-17.3023,145.926
584,-17.3033,145.9258
585,-17.3043,145.9257
586,-17.3052,145.9255
587,-17.3062,145.9254
588,-17.3071,145.9252
589,-17.3081,145.9251
590,-17.3091,145.9249
591,-17.31,145.9248
592,-17.311,145.9246
593,-17.312,145.9247
594,-17.313,145.9248
595,-17.3139,145.9249
596,-17.3149,145.925
597,-17.3159,145.9251
598,-17.3169,145.9252
599,-17.3178,145.9253
600,-17.3188,145.9255
601,-17.3198,145.9256
602,-17.3208,145.9257
603,-17.3217,145.9258
604,-17.3227,145.9259
605,-17.3237,145.926
606,-17.3247,145.9261
607,-17.3256,145.9262
608,-17.3266,145.9263
609,-17.3276,145.9264
610,-17.3286,145.9265
611,-17.3295,145.9266
612,-17.3305,145.9267
613,-17.3315,145.9268
614,-17.3325,145.927
615,-17.3334,145.9271
616,-17.3344,145.9272
617,-17.3354,145.9273
618,-17.3364,145.9274
619,-17.3373,145.9275
620,-17.3383,145.9276
621,-17.3393,145.9277
622,-17.3403,145.9276
623,-17.3413,145.9274
624,-17.3422,145.9273
625,-17.3432,145.9272
626,-17.3442,145.9271
627,-17.3452,145.9269
628,-17.3461,145.9268
629,-17.3471,145.9267
630,-17.3481,145.9266
631,-17.3491,145.9264
632,-17.3501,145.9263
633,-17.351,145.9262
634,-17.352,145.9261
635,-17.353,145.9259
636,-17.354,145.9258
637,-17.355,145.9257
638,-17.3559,145.9256
639,-17.3569,145.9254
640,-17.3579,145.9253
641,-17.3589,145.9252
642,-17.3598,145.9251
643,-17.3608,145.9249
644,-17.3618,145.9248
645,-17.3623,145.924
646,-17.3628,145.9232
647,-17.3634,145.9224
648,-17.3639,145.9215
649,-17.3644,145.9207
650,-17.3649,145.9199
651,-17.3654,145.9191
652,-17.366,145.9183
653,-17.3665,145.9175
654,-17.367,145.9167
655,-17.3675,145.9159
656,-17.368,145.915
657,-17.3686,145.9142
658,-17.3691,145.9134
659,-17.3696,145.9126
660,-17.3706,145.9125
661,-17.3716,145.9124
662,-17.3725,145.9123
663,-17.3735,145.9122
664,-17.3745,145.9122
665,-17.3755,145.9121
666,-17.3764,145.912
667,-17.3774,145.9119
668,-17.3784,145.9118
669,-17.3794,145.9117
670,-17.3804,145.9116
671,-17.3813,145.9115
672,-17.3823,145.9114
673,-17.3833,145.9114
674,-17.3843,145.9113
675,-17.3852,145.9112
676,-17.3862,145.9111
677,-17.3872,145.911
678,-17.3882,145.9109
679,-17.3891,145.9108
680,-17.3901,145.9107
681,-17.3911,145.9106
682,-17.3921,145.9106
683,-17.3931,145.9105
684,-17.394,145.9104
685,-17.395,145.9103
686,-17.396,145.9102
687,-17.397,145.9101
688,-17.3979,145.91
689,-17.3989,145.9099
690,-17.3999,145.9099
691,-17.4009,145.9098
692,-17.4019,145.9097
693,-17.4028,145.9096
694,-17.4038,145.9095
695,-17.4048,145.9094
696,-17.4058,145.9093
697,-17.4067,145.9092
698,-17.4077,145.9091
699,-17.4087,145.9091
700,-17.4097,145.909
701,-17.4106,145.9089
702,-17.4116,145.9088
703,-17.4126,145.9087
704,-17.4136,145.9086
705,-17.4146,145.9085
706,-17.4155,145.9084
707,-17.4165,145.9083
708,-17.4175,145.9083
709,-17.4185,145.9082
710,-17.4194,145.9081
711,-17.4204,145.908
712,-17.4214,145.9079
713,-17.4219,145.9088
714,-17.4224,145.9096
715,-17.4229,145.9105
716,-17.4234,145.9113
717,-17.4239,145.9122
718,-17.4244,145.913
719,-17.4249,145.9139
720,-17.4254,145.9147
721,-17.4259,145.9156
722,-17.4264,145.9164
723,-17.4269,145.9173
724,-17.4274,145.9181
725,-17.4279,145.919
726,-17.4284,145.9198
727,-17.4289,145.9207
728,-17.4294,145.9215
729,-17.4299,145.9224
730,-17.4304,145.9232
731,-17.4309,145.9241
732,-17.4314,145.9249
733,-17.4319,145.9258
734,-17.4321,145.9268
735,-17.4323,145.9277
736,-17.4324,145.9287
737,-17.4326,145.9297
738,-17.4328,145.9306
739,-17.433,145.9316
740,-17.4331,145.9326
741,-17.4333,145.9336
742,-17.4335,145.9345
743,-17.4337,145.9355
744,-17.4338,145.9365
745,-17.434,145.9374
746,-17.4342,145.9384
747,-17.435,145.9389
748,-17.4358,145.9393
749,-17.4366,145.9398
750,-17.4374,145.9402
751,-17.4381,145.9407
752,-17.4389,145.9411
753,-17.4397,145.9416
754,-17.4405,145.942
755,-17.4413,145.9425
756,-17.4421,145.9429
757,-17.4423,145.9438
758,-17.4426,145.9447
